Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Chicken Little,135386665,314432738,142108745,60000000,4-Nov-05,G,80,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36,5.8,17415
Chicken Run,106793915,227793915,,42000000,21-Jun-00,G,84,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,96,7.3,48307
Cheaper by the Dozen,138614544,189714544,,40000000,25-Dec-03,PG,98,20th Century Fox,Remake,Comedy,Contemporary Fiction,Shawn Levy,24,5.6,24283
Cheaper by the Dozen 2,82571173,135015330,26537982,60000000,21-Dec-05,PG,94,20th Century Fox,Remake,Comedy,Contemporary Fiction,Adam Shankman,7,5.2,11858
Bride of Chucky,32404188,50692188,,25000000,16-Oct-98,R,89,Universal,Original Screenplay,Horror,Fantasy,Ronny Yu,43,5.3,13735
Children of Men,35552383,69450202,25345271,76000000,25-Dec-06,R,114,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93,8.1,158125
Love in the Time of Cholera,4617608,31077418,,45000000,16-Nov-07,R,139,New Line,Based on Book/Short Story,Drama,Historical Fiction,Mike Newell,27,6.2,8580
Chocolat,71309760,152500343,,25000000,15-Dec-00,PG-13,122,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Lasse Hallstrom,62,7.3,56176
Charlotte's Web,82985708,143985708,83571732,82500000,15-Dec-06,G,98,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78,6.7,8028
Cinderella Man,61649911,108539911,,88000000,3-Jun-05,PG-13,144,Universal,Based on Real Life Events,Drama,Dramatization,Ron Howard,80,8,63111
City of Angels,78750909,198750909,,55000000,10-Apr-98,PG-13,117,Warner Bros.,Remake,Drama,Fantasy,Brad Silberling,59,6.4,40053
A Civil Action,56709981,56709981,,60000000,25-Dec-98,PG-13,112,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Zaillian,61,6.4,14244
Cold Mountain,95632614,161632614,,80000000,25-Dec-03,R,152,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,70,7.3,51083
Code Name: The Cleaner,8135024,8135024,4492233,20000000,5-Jan-07,PG-13,91,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4,4,5277
Closer,33987757,115987757,,35000000,3-Dec-04,R,104,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Mike Nichols,68,2.9,212
Maid in Manhattan,93932896,154832896,,55000000,13-Dec-02,PG-13,105,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Wayne Wang,39,4.6,30370
Constantine,75976178,230884728,,75000000,18-Feb-05,R,122,Warner Bros.,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Francis Lawrence,46,6.7,78705
Collateral,100170152,217670152,,60000000,6-Aug-04,R,120,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Michael Mann,86,7.8,105362
Con Air,101117573,224117573,,80000000,6-Jun-97,R,115,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Simon West,57,6.6,76052
Conspiracy Theory,76118990,137118990,,80000000,8-Aug-97,R,135,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Richard Donner,51,6.5,35719
Contact,100920329,165900000,,90000000,11-Jul-97,PG,150,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Robert Zemeckis,67,7.3,73684
The Covenant,23364784,38164784,26360430,20000000,8-Sep-06,PG-13,95,Sony/Screen Gems,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3,4.8,17736
Cop Land,44906632,63706632,,15000000,15-Aug-97,R,105,Miramax,Original Screenplay,Drama,Contemporary Fiction,James Mangold,71,6.9,35192
Couples Retreat,109205660,172450423,34715888,60000000,9-Oct-09,PG-13,113,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12,5.5,18332
Cradle 2 the Grave,34657731,56434942,,25000000,28-Feb-03,R,101,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,Andrzej Bartkowiak,26,5.4,14834
The Corruptor,15164492,15164492,,10000000,12-Mar-99,R,110,New Line,Original Screenplay,Action,Contemporary Fiction,James Foley,48,5.8,9008
Crash,54557348,98387109,,6500000,6-May-05,R,107,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Paul Haggis,75,6.1,20886
The Count of Monte Cristo,54228104,54228104,,40000000,25-Jan-02,PG-13,131,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Kevin Reynolds,74,7.6,40605
Cruel Intentions,38230075,75803716,,11000000,5-Mar-99,R,95,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Roger Kumble,47,6.7,66861
